ID_Customer,CompanyName,CustomerType,CustomerSource,Terms,Cust_Cont_ContNum_x_PrimaryPhone::Number,Cust_Cont_ContNum_x_PrimaryFax::Number
101,Wash. Antique Carousel Society,DEAD,DEAD,Pay On Pickup,(253)922-6468,
,,,,,(206)860-6167,(206)320-8831
,,,,,(253)922-6468,
,,,,,206-744-3140,
103,,DEAD,DEAD,Pay On Pickup,(253) 593-0232,(253) 593-3479
104,Goldsmith,DEAD,DEAD,Pay On Pickup,503-943-9114,503-231-9089
106,Centurion Enterprises,DEAD,DEAD,Pay On Pickup,,
107,Star Sportswear,Contract,Old customer,Pay On Pickup,425-828-4644,(425)828-6679
,,,,,425-828-4644,425-828-6679
108,Propeller Club,Corporate,Prior Customer,Net 10,253-572-8981,
,,,,,253-219-5223,
,,,,,253-732-6347c,
,,,,,253-677-8764,
110,"IBS, Inc (Industrial Bolt)",Construction ,Prior Customer,Net 10,253-952-5059,253-804-8665
,,,,,253-952-5059,253-804-8665
,,,,,253-952-5059,253-804-8665
,,,,,253-804-8666,253-804-8665
,,,,,253-952-5059,253-804-8665
,,,,,253-952-5059,253-804-8665
113,Stitch City Industries,DEAD,DEAD,Pay On Pickup,562-408-6144,562-408-6199
114,Amjay Screenprinting,DEAD,DEAD,Pay On Pickup,360-676-1165,360-671-2190
118,Piledrivers Local 2396,DEAD,DEAD,Pay On Pickup,253-627-5122,253-627-5121
,,,,,,253-627-5121
,,,,,253-555-5698,
119,Ellensburg Feed & Seed,DEAD,DEAD,Pay On Pickup,(509)925-6181,
,,,,,(509)925-6181,509-925-1402
120,Don's Group Attire,Contract,Referral,Net 10,(206)767-0366,(206)767-1966
,,,,,(206)767-0366,206-390-2205 c
,,,,,(206) 769-9206 cell,206.769.9206 c
,,,,,425-503-9144c,
,,,,,,
,,,,,(206)767-0366,(206)767-1966
,,,,,,
121,Fife Police Dept.,Fire/Police,Old customer,Pay On Pickup,253-922-6633,253-922-1220
,,,,,253-922-6633,253-922-1220
,,,,,253-922-6633 ext 232,253-926-5374
,,,,,922-6633 ext 0,922-0729
,,,,,253-922-6633,253-922-0729
,,,,,253-922-6633,253-922-1220
,,,,,253-896-8283,
,,,,,2532-922-6633,
,,,,,253-896-8296,
,,,,,206-999-5173,
,,,,,253-202-6986,
,,,,,253-896-8269,253-922-1220
,,,,,253-250-2345,
,,,,,253-922-6633,
,,,,,253-250-2339,
,,,,,253-778-9334,
,,,,,,
,,,,,253-896-8269,
,,,,,,
,,,,,253-896-8287,
,,,,,,
,,,,,253-331-3188,
,,,,,253-331-3180,
122,Carpenters Local 470,DEAD,DEAD,Pay On Pickup,253-627-8712,253-627-0819
,,,,,800-202-9643,
,,,,,253-572-6606,253-627-0819
,,,,,253-208-4419,627-0819
,,,,,253-905-1294,253-752-9572
,,,,,253-572-6606,253-627-0819
123,Fugate Ford,Corporate,Prior Customer,Net 10,360-825-7731,
,,,,,360-825-7731,
,,,,,360-825-7731,
124,Mcchord Air Museum,Corporate,Null,Net 10,253-982-2485,
,,,,,253-982-2485,hm 531-4263
126,Lakeside Industries,Dead,Prior Customer,Net 10,425-313-2681,425-313-2622
128,PDM Steel ,DEAD,DEAD,Pay On Pickup,206-824-4041,206-824-8110
129,Associated Petroleum,Construction ,Prior Customer,Net 10,(253)627-6179,253-627-3637
,,,,,253-627-6179,253-627-3637
,,,,,(253)627-6179,253-627-3637
,,,,,253-606-4151,
,,,,,253-350-2410,
,,,,,253-350-2410,
,,,,,253-627-6179,
131,Harbor Hydraulics Inc.,DEAD,DEAD,Pay On Pickup,(206)533-3030,
134,Vancouver Door,DEAD,DEAD,Pay On Pickup,(253)845-9581,(253)845-3364
,,,,,253-845-9581,
,,,,,253-845-9581,
135,Alaska Airlines,Corporate,Prior Customer,Need credit card,206-392-5423,206-431-3800
,,,,,206-392-9505,
,,,,,206-392-5470,206-392-5800
,,,,,206-392-9691,206-392-9697
,,,,,206-678-7237,206-392-7572
,,,,,206-392-6064 Office,"253-318-1401 Cell

"
136,Chuck Pollard,DEAD,DEAD,Pay On Pickup,918-831-3723,
141,New Glasair,DEAD,DEAD,Pay On Pickup,(360)435-8533,(360)435-0818
,,,,,360-435-8533x#232,
,,,,,(360)435-8533,(360)435-9525
,,,,,(360)435-8533,(360)435-0818
,,,,,360-435-8533,360-403-0818
,,,,,360-435-8533 ext255,360-403-0818
,,,,,"360-435-8533 x226

360-435-8533 x226
",360-435-9525
144,Arts Design,Contract,,Net 10,(907)835-4205,(907)835-5706
,,,,,907-255-5839,c 907-831-0144
146,American Boilerworks,DEAD,DEAD,Pay On Pickup,425-259-0834,
149,Jake Kennedy ,DEAD,DEAD,Pay On Pickup,253-370-6340,
,,,,,253-370-7230,
150,Mountain Construction,Construction,Prior Customer,Pay On Pickup,(253)474-5281,253-474-7699
,,,,,253-284-0402,253-474-7699
,,,,,253-474-5281,
,,,,,253-284-0416,
,,,,,253-284-0403,
,,,,,253-284-0406,
,,,,,253-820-7935,
154,McConkey Co.,Construction ,Prior Customer,Need credit card,(253)299-7077,(253)863-5833
,,,,,253-863-8111,253-863-5833
,,,,,253-863-8111 ext 113,
155,Manke Lumber Company,Construction ,Prior Customer,Net 10,253-572-6252,253-383-2489
,,,,,253-572-6252,383-2489
,,,,,253-572-6252,383-2489
,,,,,206-730-3007,
156,Screenprint Northwest,DEAD,DEAD,Pay On Pickup,(360)577-1534,(360)577-7493
,,,,,(360)577-1534,(360)577-7493
,,,,,360-577-1534,
163,Dahlgren Logging Inc.,DEAD,DEAD,Pay On Pickup,(360)374-6644,360-374-6763
,,,,,(360)374-6432,360-374-6763
165,NS Entertainment/Medalist Marketing Corp.,DEAD,DEAD,Pay On Pickup,253-939-2900 x517,253-709-4188
167,Madsen Electric,Construction ,Prior Customer,Pay On Pickup,(253) 383-4546 ext 129,253-370-9854 
,,,,,,
,,,,,253-531-7974,
169,Sumner Police Dept.,Fire/Police,,Pay On Pickup,253-324-0317 cell,
,,,,,,
,,,,,(253) 299-5640,
170,,DEAD,DEAD,Pay On Pickup,,
175,Milo's Locksmith,Construction ,Prior Customer,Pay On Pickup,253-848-8646,
,,,,,253-736-3626,
176,Commencement Bay Corrugated,DEAD,DEAD,Pay On Pickup,(253)845-3100,(253)845-1536
,,,,,253-845-3100,253-845-1536
,,,,,(253)845-3100,253-845-1536
,,,,,253-435-6227,253-770-5532
,,,,,(253)845-3100,253-845-1536
,,,,,253-845-3100,253-445-0772
177,I.V. Comics,DEAD,DEAD,Pay On Pickup,562-676-5915,
